IP1,IP2,IP3,IP4,IP5,IP6,Average,Predikat
3.36,2.11,3.09,3.34,2.59,2.56,2.84,Sangat Memuaskan
3.61,3.66,3.61,3.90,3.84,3.89,3.75,Cumlaude
3.63,3.95,3.76,3.84,3.76,3.78,3.79,Cumlaude
3.51,3.62,3.98,3.77,3.65,3.61,3.69,Cumlaude
3.98,3.83,3.64,3.96,3.94,3.89,3.87,Cumlaude
3.43,3.75,3.94,3.94,2.72,3.20,3.50,Sangat Memuaskan
3.79,3.55,3.84,3.87,3.50,3.50,3.68,Cumlaude
3.71,3.88,3.78,3.97,3.74,3.72,3.80,Cumlaude
3.99,3.65,3.98,3.79,3.70,3.84,3.83,Cumlaude
3.94,3.91,3.85,3.88,3.85,3.60,3.84,Cumlaude
3.96,2.28,2.14,2.88,3.25,3.95,3.07,Sangat Memuaskan
3.87,3.92,3.54,3.87,3.97,3.86,3.84,Cumlaude
3.66,3.56,3.84,3.96,3.75,3.84,3.77,Cumlaude
3.63,3.97,3.79,3.60,3.65,3.71,3.72,Cumlaude
3.56,3.76,3.73,3.58,3.81,3.87,3.72,Cumlaude
3.76,2.98,3.87,3.87,3.34,3.03,3.48,Sangat Memuaskan
3.71,3.70,3.72,4.00,3.69,3.74,3.76,Cumlaude
3.84,3.69,3.87,3.51,3.59,3.72,3.70,Cumlaude
3.97,3.76,3.77,3.89,3.65,3.89,3.82,Cumlaude
3.53,3.72,3.69,3.80,4.00,3.88,3.77,Cumlaude
3.59,3.11,3.07,3.51,2.50,3.76,3.26,Sangat Memuaskan
3.66,3.66,3.80,3.66,3.58,3.54,3.65,Cumlaude
3.64,3.67,3.73,3.75,3.97,3.64,3.73,Cumlaude
3.78,3.73,3.68,3.92,3.64,3.66,3.74,Cumlaude
3.85,3.76,3.89,3.59,3.60,3.85,3.76,Cumlaude
3.75,3.89,2.32,3.84,3.15,2.21,3.20,Sangat Memuaskan
3.76,3.81,3.89,3.67,3.61,3.73,3.75,Cumlaude
3.73,3.72,3.84,3.70,3.91,3.57,3.74,Cumlaude
3.81,3.69,3.88,3.82,3.68,3.99,3.81,Cumlaude
3.90,3.86,3.94,3.88,3.70,3.98,3.88,Cumlaude
3.09,2.48,2.76,3.52,2.75,3.95,3.09,Sangat Memuaskan
3.81,3.93,3.90,3.74,3.71,3.73,3.80,Cumlaude
3.58,3.64,3.87,3.84,3.57,3.64,3.69,Cumlaude
3.61,3.84,3.67,3.81,3.75,3.94,3.77,Cumlaude
3.83,3.85,3.89,3.95,3.83,3.50,3.81,Cumlaude
3.29,2.68,2.93,3.20,3.05,3.33,3.08,Sangat Memuaskan
3.89,3.58,3.78,3.74,3.60,3.91,3.75,Cumlaude
3.97,3.57,3.82,3.60,3.60,3.75,3.72,Cumlaude
3.61,3.87,3.54,3.71,3.58,3.55,3.64,Cumlaude
3.80,3.90,3.65,3.60,3.97,3.98,3.82,Cumlaude
3.03,3.57,2.29,3.96,3.92,2.02,3.13,Sangat Memuaskan
3.76,3.79,3.74,3.64,3.53,3.55,3.67,Cumlaude
3.87,3.62,3.72,3.82,3.83,3.55,3.74,Cumlaude
3.75,3.72,3.80,3.66,3.70,3.62,3.71,Cumlaude
3.71,3.77,3.84,3.96,3.91,3.53,3.79,Cumlaude
3.79,2.18,3.64,3.35,2.85,3.96,3.29,Sangat Memuaskan
3.54,3.61,3.76,3.85,3.83,3.70,3.72,Cumlaude
3.97,3.60,3.55,3.90,3.86,3.73,3.77,Cumlaude
3.88,3.97,3.93,3.78,3.98,3.85,3.90,Cumlaude
3.94,3.94,3.82,3.65,3.70,3.75,3.80,Cumlaude
3.50,2.22,3.87,3.55,3.85,2.81,3.30,Sangat Memuaskan
3.94,3.95,3.57,3.63,3.66,3.57,3.72,Cumlaude
3.99,3.83,3.97,3.84,3.74,3.93,3.88,Cumlaude
3.81,3.83,3.62,3.62,3.81,3.56,3.71,Cumlaude
3.94,3.81,3.99,3.97,3.77,3.89,3.90,Cumlaude
3.16,2.63,3.05,2.72,2.26,3.34,2.86,Sangat Memuaskan
3.54,3.89,3.93,3.50,3.79,3.76,3.74,Cumlaude
3.98,3.59,3.99,3.97,3.50,3.77,3.80,Cumlaude
3.69,3.64,3.84,3.68,3.77,3.57,3.70,Cumlaude
3.87,3.91,3.87,3.80,3.84,3.53,3.80,Cumlaude
3.13,2.34,3.21,3.93,3.63,3.73,3.33,Sangat Memuaskan
3.73,3.57,3.74,3.67,3.77,3.92,3.74,Cumlaude
3.64,3.96,3.54,3.62,3.88,3.91,3.76,Cumlaude
3.65,3.54,3.51,3.83,3.65,3.89,3.68,Cumlaude
3.96,3.96,3.82,3.56,3.83,3.85,3.83,Cumlaude
3.55,3.38,3.92,3.24,2.82,3.84,3.46,Sangat Memuaskan
3.76,3.64,3.52,3.75,3.80,3.55,3.67,Cumlaude
3.97,3.55,3.57,3.56,3.83,3.79,3.71,Cumlaude
3.79,3.65,3.53,3.91,3.53,3.55,3.66,Cumlaude
3.56,3.69,3.85,3.95,3.96,3.66,3.78,Cumlaude
3.49,2.48,3.11,2.81,3.30,3.97,3.19,Sangat Memuaskan
3.79,3.98,3.75,3.81,3.71,3.99,3.84,Cumlaude
3.61,3.57,3.70,3.67,3.72,3.70,3.66,Cumlaude
3.68,3.74,3.68,3.81,3.60,3.69,3.70,Cumlaude
3.64,3.74,3.74,3.73,3.70,3.60,3.69,Cumlaude
3.39,3.52,2.25,3.08,2.24,3.95,3.07,Sangat Memuaskan
3.72,3.78,3.77,3.94,3.89,3.64,3.79,Cumlaude
3.68,3.51,3.62,3.73,3.72,3.91,3.70,Cumlaude
3.92,3.51,3.77,3.87,3.65,3.85,3.76,Cumlaude
3.77,3.61,3.89,3.98,3.91,3.86,3.84,Cumlaude
3.85,3.43,3.25,2.22,2.38,2.60,2.96,Sangat Memuaskan
3.52,3.52,3.73,3.72,3.73,3.72,3.66,Cumlaude
3.95,3.75,3.82,3.53,3.90,3.77,3.79,Cumlaude
3.61,3.68,3.82,3.61,3.73,3.99,3.74,Cumlaude
3.69,3.97,3.89,3.69,3.99,3.58,3.80,Cumlaude
3.43,2.37,3.95,2.04,3.07,3.67,3.09,Sangat Memuaskan
3.68,3.56,3.91,3.95,3.95,3.95,3.83,Cumlaude
3.79,3.69,3.58,3.79,3.92,3.75,3.75,Cumlaude
3.50,3.57,3.68,3.70,3.79,3.72,3.66,Cumlaude
3.62,3.82,3.92,3.69,3.78,3.51,3.72,Cumlaude
3.17,2.43,2.24,2.95,3.76,2.70,2.87,Sangat Memuaskan
3.63,3.51,3.53,3.80,3.71,3.89,3.68,Cumlaude
3.67,3.71,3.70,3.58,3.65,3.73,3.67,Cumlaude
3.81,3.57,3.62,3.52,3.56,3.90,3.66,Cumlaude
3.95,3.57,3.61,3.73,3.89,3.50,3.71,Cumlaude
3.26,3.26,2.03,2.17,3.06,2.96,2.79,Sangat Memuaskan
3.52,3.92,3.59,3.53,3.82,3.64,3.67,Cumlaude
3.87,3.56,3.64,3.79,3.74,3.58,3.70,Cumlaude
3.68,3.65,3.58,3.74,3.64,3.73,3.67,Cumlaude
3.63,3.96,3.82,3.70,4.00,3.63,3.79,Cumlaude
3.08,3.56,2.37,2.30,3.52,2.12,2.82,Sangat Memuaskan
3.87,3.97,3.99,3.88,3.70,3.81,3.87,Cumlaude
3.67,3.92,3.94,3.70,3.77,3.94,3.82,Cumlaude
3.54,3.69,3.70,3.70,3.81,3.76,3.70,Cumlaude
